Manufacturer,Representative,Product_Description
CDI Curbs,Comfort Air Distributing Company,Curbs and Curb Adaptors
Centrotherm ECO Systems LLC,Comfort Air Distributing Company,High Efficiency Flue Gas Ventilation
Climate Master,Comfort Air Distributing Company,"Geothermal ground source heat pumps, water source heat pumps and water to water heat pumps"
Continental,Comfort Air Distributing Company,Fans
Cozy,Comfort Air Distributing Company,"Heaters, Room and Wall"
Crown,Comfort Air Distributing Company,Boilers
Diversitech,Comfort Air Distributing Company,"Condenser & Furnace Pads, Condensate Pumps"
Ecobee,Comfort Air Distributing Company,Thermostats
Enerco,Comfort Air Distributing Company,"Infra-red, Tube Heaters"
ESCO Institutes,Comfort Air Distributing Company,EPA certification
Manufacturer/Brand,Comfort Air Distributing Company,Products/Services
EWC Controls,Comfort Air Distributing Company,HVAC System Zoning
Fantech,Comfort Air Distributing Company,Commercial exhaust fans
Fieldpiece,Comfort Air Distributing Company,Instruments and Gauges
First Company,Comfort Air Distributing Company,"Air Handling Units with Coils, Coils, Steam, Hydronic and DX"
GeneralAire,Comfort Air Distributing Company,Humidifiers
Glasfloss Industries,Comfort Air Distributing Company,Air Filters
Hardcast,Comfort Air Distributing Company,Duct Connector and Sealants
Honeywell,Comfort Air Distributing Company,"Humidifiers, Indoor Air Quality, Temperature Controls, Thermostats; Hydronic"
J.P. Lamborn,Comfort Air Distributing Company,Flexible Duct
JB Industries,Comfort Air Distributing Company,Instruments and gauges
Kidde,Comfort Air Distributing Company,"Smoke Detectors, Co2 Detectors"
Little Giant,Comfort Air Distributing Company,Condensate pump
Magic-Aire,Comfort Air Distributing Company,"Air Handling Units, Air Handling Units with Coils, Coils, Steam, Hot Water and DX"
Malco,Comfort Air Distributing Company,"HVAC/R Hand Tools, Sheet Metal Screws"
Mars,Comfort Air Distributing Company,Motors & accessories
McDaniel Metals,Comfort Air Distributing Company,"Roof Curbs, Custom Curbs, Curb Adapters"
Selkirk/DuraVent,Comfort Air Distributing Company,Flue Pipe
Modine,Comfort Air Distributing Company,"Fuel Fired Heaters (Make-Up Air), Heaters, Direct Fired Gas, Heaters, Gas, Steam, and Hot water, Infra-red, Tube Heaters, Unit Heaters"
Mueller,Comfort Air Distributing Company,Refrigeration Piping
Multi Aqua,Comfort Air Distributing Company,"Chilled water air conditioning systems, Air Cooled Chillers, Variable Speed Chillers"
NATE,Comfort Air Distributing Company,Concealed Chilled Water Fan Coils
Nu-Calgon,Comfort Air Distributing Company,Coil Cleaners
Panasonic,Comfort Air Distributing Company,HVAC/R Replacement Parts
Pro1,Comfort Air Distributing Company,Thermostats
Protech,Comfort Air Distributing Company,Rheem Replacement Parts
RGF,Comfort Air Distributing Company,Air Purifiers
Rectorseal,Comfort Air Distributing Company,Rheem Replacement Parts
Rheem,Comfort Air Distributing Company,"Air Coils, Air Handling Units, Air Handling Units with Coils, Covers, Curbs, Electric Heat Units, Filters, Furnaces, Heat Pumps, Packaged Rooftop A/C Units, Unitary"
Rheem,Comfort Air Distributing Company,"Commercial/Residential Water Heaters, Tankless Water Heaters"
Ritchie Engineering Co,Comfort Air Distributing Company,"HVAC Tools, Yellow Jacket"
"Rooftop Systems, Inc.",Comfort Air Distributing Company,"Commercial/Residential Water Heaters, Tankless WaterHeaters"
Shoemaker,Comfort Air Distributing Company,"Mini split A/C units, Multi Zone Systems Grilles, Registers, Louvers, Fire Dampers, Fire/Smoke Dampers"
Solar & Palau,Comfort Air Distributing Company,"Commercial/Residential Exhaust Fans, Louvers, Utility Sets, HRV-ERV's"
Southwark,Comfort Air Distributing Company,Ductwork
Spacepak,Comfort Air Distributing Company,High Velocity Air Handling Equipment
Company,Comfort Air Distributing Company,Products/Services
Stelpro,Comfort Air Distributing Company,"Residential/Commercial, Electric Wall, Duct, MUA, Cabinet, Ceiling,Unit Heaters & Baseboard Heaters"
System Sensor,Comfort Air Distributing Company,Duct Smoke Detectors
Thermo Tek,Comfort Air Distributing Company,"Modular make up air units, kitchen ventilation products"
Tjernlund,Comfort Air Distributing Company,Power vent
Advanced Distribution Products A/C Coils,Denver Winair,A/C Coils
Aero-Cool Duct Fans,Denver Winair,Duct Fans
American Standard Heating & Air,Denver Winair,"Residential & Commercial Heating & Air Conditioning, Heat Pumps to 25 Tons. Electric Furnaces, Air Handlers"
AO Smith,Denver Winair,Water Heaters
Aprilaire,Denver Winair,Humidifiers
Arzel,Denver Winair,Zoning systems
Broan,Denver Winair,"Commercial & Residential exhaust fans, energyrecovery ventilators & kitchen hoods"
Captive Aire,Denver Winair,Commercial kitchen ventilation
Company/Brand,Denver Winair,Products/Services
Certainteed,Denver Winair,"Duct Liner, Duct Wrap, Insulation"
Coleman Safety,Denver Winair,Smoke Detectors and Duct Detectors
Comfort-Aire,Denver Winair,Room A/C and H/P thru the Wall
Cozy,Denver Winair,Gas Fired Space Heating Top Vent or Direct Vent
Custom Curb,Denver Winair,Custom Curbs Built to Order
"Des Champs Labs, Inc.",Denver Winair,Pool Room Dehumidifiers; Air to Air Exchangers
Dial,Denver Winair,Evaporative Cooler Parts and Supplies
Diversitech,Denver Winair,Furnace Pads (Cladite and Ultra-Lite). Condenser Pads - Light Weight Pads
Dormont,Denver Winair,Stainless Gas Connectors
Duro Dyne,Denver Winair,Commercial Duct Connectors
"Dwyer Instruments, Inc.",Denver Winair,"Duct Connector and Sealants, Turning Vane"
Fantech,Denver Winair,Fans and accessories
Field Controls,Denver Winair,Air Measuring Devices
Fieldpiece,Denver Winair,Testing Equipment
First Company,Denver Winair,"Chilled Water, Hot Water DX Coils, Blower Units and Condensing Units to 5 Tons"
Florida Heat Pump,Denver Winair,Geothermal heat pumps
Friedrich,Denver Winair,Mini-Split A/C and H/P Systems Room Thru-the- Wall A/C & H/P
Gastite,Denver Winair,FlashShield CSST pas piping & fittings
General Electric,Denver Winair,"Electric Motors 120 Volt thru 480 Volt, Single and 3-Phase"
Halstead/Mueller,Denver Winair,Line Sets and Copper Fittings (American Made)
Hardcast,Denver Winair,"Duct Sealant, Firesafing Sealants"
Hart & Cooley,Denver Winair,"Grilles and Registers, Residential and Commercial Designer Brass and Colored; Insulated & Uninsulated Flexible Duct R-6 Isolation ""Standard"", Vinyl & Mylar Jackets"
Honeywell,Denver Winair,Electronic Air Cleaners; Residential and Light Commercial Controls and Gas Products
JB Industries,Denver Winair,"Gauges, manifolds and hoses"
JPL,Denver Winair,Insulated and insulated flexible duct
Kidde,Denver Winair,"Carbon monoxide detectors, smoke detectors"
Kirk & Blum,Denver Winair,Industrial Air Systems and Blast Gates
Klenk,Denver Winair,Aviation Snips
LAU,Denver Winair,"Bearings, Blowers, and Blades"
LG,Denver Winair,Mini splits
Lima,Denver Winair,Grilles and Registers. Residential and Commercial
Little Giant,Denver Winair,Condensate and Submersible Pumps
Macurco,Denver Winair,"Gas Detectors, Detects CO2, Methane, etc."
Brand/Manufacturer,Denver Winair,Products/Description
Magic-Aire,Denver Winair,Chilled Water to Expansion Air Blower Units to 25 Tons
Main Line,Denver Winair,"Louvers, Fire Dampers, Smoke and Fire Dampers"
Malco,Denver Winair,"Tools and Fasteners, Grooving Tools"
Markel,Denver Winair,Electric Wall Heaters and Baseboard Heaters
Mason,Denver Winair,Vibration Isolators
"Metal-Fab, Inc.",Denver Winair,"Type ""A"" Vent for Wood Burning Fireplaces. Single Wall, Double Wall, and Double Wall Insulated; Gas Vent Type ""B"" & Chimney Liners 3"" to 30"" Diameters"
Modine,Denver Winair,"Engineered Products - Direct and Indirect Fired Make-Up Air Units to 60,000 cfm and Unit Heaters"
Newtron,Denver Winair,High Efficiency Electrostatic Air Cleaners
Nibco,Denver Winair,PVC Plastic Pipe and Fittings
Nu-Calgon,Denver Winair,"Chemical Products, coil cleaners, flushing kits"
Nutech,Denver Winair,Energy Recovery Ventilators Air to Air Exchangers
Penn Ventilator,Denver Winair,Commercial Exhaust and Supply Fans
Polyken,Denver Winair,"Duct, Foil, Foilastic, Electrical and Pressure Sensitive Tape"
Quickflash,Denver Winair,Weatherproofing Pipe Flashing
Respicaire,Denver Winair,Indoor Air Quality products
Reverso-matic,Denver Winair,Residential and Light Commercial Fans with Fire Damper Pre-installed
Reznor,Denver Winair,Engineered Products - Direct and Indirect Fired Make-Up Air Units and Unit Heaters
RGF,Denver Winair,"Indoor Air Quality, Purifiers"
Rinnai,Denver Winair,"Water Heaters, Ductless Heaters"
Service First,Denver Winair,Motors & Components for American Standard/Trane Heating & Air Conditioning. Duration & Climatuff Compressors with Roto- Lock Fittings to 25 Tons.
Sharkbite,Denver Winair,Quick Connect Plumbing Fittings
Shubee,Denver Winair,"Shoe Covers, Protective Gear"
Skuttle,Denver Winair,"Flow Thru, Under Duct, Steam and Self-Contained Steam Humidifiers"
Snappy,Denver Winair,"Sheet Metal Ductwork and Air Distribution Products, All Gauges, Spiral Pipe & Fittings Plastic Bladed DuctFans"
Suncourt,Denver Winair,Plastic Bladed Duct Fans
Thermo Tek,Denver Winair,"Make up air, exhaust"
Tjernlund,Denver Winair,Side Wall Venters
Brand/Manufacturer,Denver Winair,Products/Services
Trion,Denver Winair,Electronic and Media Air Cleaners and Smoke Abatement Fans
Trol-A-Temp/Honeywell,Denver Winair,Automatic Zone Controls and Temperature Control
U-Brand,Denver Winair,PVC Plastic Pipe and Fittings
U-Brand/Ward,Denver Winair,Gas Pipe and Fittings (American Made)
UEI,Denver Winair,"Meters, Leak Detection"
Unico,Denver Winair,"Hi-Pressure/Hi-Static Chilled Water, Hot Water, DX Coil Blower Units"
USA Coil,Denver Winair,"Steam, Hot Water, Chilled Water, DX Coils Made to Order"
Vermette,Denver Winair,Multi-purpose Lifts
Warren Electric,Denver Winair,Electric Duct Heaters
Weatherite,Denver Winair,"Engineered Products, Direct and Indirect Fired Make-up Air Units"
White Rodgers,Denver Winair,Residential and Light Commercial Controls and Gas Products
ADP,Charles D. Jones Co.,DX Coils
Aerionics,Charles D. Jones Co.,Macurco CO Systems
Aerocool,Charles D. Jones Co.,"Evaporative Cooler, Residential and Commercial"
Air Products & Control,Charles D. Jones Co.,Smoke Detectors
American,Charles D. Jones Co.,Water Heater and Storage Tanks
Amprobe,Charles D. Jones Co.,Test Instruments
Appion,Charles D. Jones Co.,Refrigerant Recovery Equipment
Aqua,Charles D. Jones Co.,Products Chillers
Argo,Charles D. Jones Co.,Hydronic BBR
Armstrong,Charles D. Jones Co.,Pumps
Arzel,Charles D. Jones Co.,Pneumatic Zone Control Systems
Axiom,Charles D. Jones Co.,Glycol Feeders
B&G,Charles D. Jones Co.,Hydronic pumps and accessories
Belimo,Charles D. Jones Co.,Actuators and Valves
Boiler Buddy,Charles D. Jones Co.,Non ASME Buffer Tanks
Breezair/Convair,Charles D. Jones Co.,High Efficiency Evaporative Coolers
Caleffi,Charles D. Jones Co.,Hydronic valves and controls
Carlyle,Charles D. Jones Co.,AC & Refrigeration Compressors
CDI,Charles D. Jones Co.,Adapter Curbs
Climatic,Charles D. Jones Co.,Electronic Air Cleaner
Coil Company,Charles D. Jones Co.,Custom Hydronic and DX Coils
Comfort Aire,Charles D. Jones Co.,PTAC
Cozy,Charles D. Jones Co.,Wall Furnaces and Space Heating
Danfoss,Charles D. Jones Co.,Hydronic Controls; AC & Refrigeration Compressors
Delfield,Charles D. Jones Co.,Refrigeration
Dell,Charles D. Jones Co.,Electric Duct Heaters
Dial,Charles D. Jones Co.,Evap Cooler Accessories
Drake,Charles D. Jones Co.,Chillers
Dupont,Charles D. Jones Co.,Refrigerants
Duravent,Charles D. Jones Co.,Venting Products
Brand/Manufacturer,Charles D. Jones Co.,Products/Specialties
E-Instruments,Charles D. Jones Co.,Combustion Analyzers
Enbraco,Charles D. Jones Co.,Aspera/Bristol Compressors
Fantech,Charles D. Jones Co.,"Exhaust Fans, ERV and HRV"
Field Controls,Charles D. Jones Co.,Venting Systems & Solutions
Fieldpiece,Charles D. Jones Co.,Text Instrument
Fireye,Charles D. Jones Co.,Flame Safeguard Controls
First Company,Charles D. Jones Co.,Air Handling Units; Fan Coil Units
Flanders,Charles D. Jones Co.,Filters and Filtration Products
Fluke,Charles D. Jones Co.,Test Equipment
Frenox,Charles D. Jones Co.,Hydronic Chemicals
Functional Devices,Charles D. Jones Co.,RIB Relays and Controls
Gates,Charles D. Jones Co.,Belts
GEA,Charles D. Jones Co.,Hydronic Heat Exchangers
GeneralAire,Charles D. Jones Co.,Humidifiers and Air Filtration
Global Plasma,Charles D. Jones Co.,IAQ Products
Grundfos,Charles D. Jones Co.,Pumps and Hydronic Specialties
Hart & Cooley,Charles D. Jones Co.,"Grilles, Registers, and Diffusers; Flexible Duct"
Heat Controller,Charles D. Jones Co.,Geothermal Heat Pumps
Heatcraft/Larkin,Charles D. Jones Co.,Refrigeration Equipment and Coils
Hoffman,Charles D. Jones Co.,Steam Specialties
Honeywell,Charles D. Jones Co.,Flame Safeguard Controls; Hydronic valves andcontrols; HVAC Controls; IAQ Products; VFD
Intermatic,Charles D. Jones Co.,Paragon Time Controls
Johnson Controls,Charles D. Jones Co.,HVAC Controls
Klein,Charles D. Jones Co.,Tools
Kreuter Mfg,Charles D. Jones Co.,KMC
Magic Aire,Charles D. Jones Co.,Air Handling Units
Malco,Charles D. Jones Co.,Fan Coil Units
Manitowoc,Charles D. Jones Co.,Sheetmetal Tools
Mars,Charles D. Jones Co.,Ice Machines
Maxitrol,Charles D. Jones Co.,Air Doors
McDonnel Miller,Charles D. Jones Co.,Gas Regulators and Controls
Metalfrio,Charles D. Jones Co.,Freezer Cabinets
Milwaukee,Charles D. Jones Co.,Tools
Mitsubishi,Charles D. Jones Co.,Mr. Slim Ductless Systems; City Multi VRF – Commercial
Mueller,Charles D. Jones Co.,ACR and M Cooper Tube and Fittings
Multi Aqua,Charles D. Jones Co.,Chillers & Fan Coil Units
NTI,Charles D. Jones Co.,Boilers
Nu Calgon,Charles D. Jones Co.,Chemicals
Packard,Charles D. Jones Co.,Refrigeration Motors
Packless,Charles D. Jones Co.,Refrigeration Heat Exchangers
PDM,Charles D. Jones Co.,Gel Copper Line Sets
Brand/Manufacturer,Charles D. Jones Co.,Products/Specialties
Peerless,Charles D. Jones Co.,Cast Iron Water & Steam Boilers
Phoenix,Charles D. Jones Co.,"Evaporative Cooler, Residential and Commercial"
Plenums,Charles D. Jones Co.,Adapter Curbs & Sheetmetal Specialties
Power Flame,Charles D. Jones Co.,Power Burners
Quietflex,Charles D. Jones Co.,Flexible Ductwork
Raypak,Charles D. Jones Co.,Hydronic Boilers; Domestic Water Boilers; ASME Buffer Tanks
Regal Beloit,Charles D. Jones Co.,AO Smith Motors
RenewAire,Charles D. Jones Co.,Energy Recovery Ventilators
Reznor,Charles D. Jones Co.,Unit Heaters; Radiant Tube Heaters; Infra-red Tube Heaters; Duct Furnaces; Direct/Indirect Fired MUA; Applied MUA Products
Rinnai,Charles D. Jones Co.,Boilers; Tankless Water Heaters; Direct Vent Heaters; Fan Coil Units
Ritchie/Yellowjacket,Charles D. Jones Co.,Refrigeration Tools
Rooftop Systems,Charles D. Jones Co.,Adapter Curbs
Schneider Electric,Charles D. Jones Co.,Pneumatic & Electric Controls
Selkirk Metalbestos,Charles D. Jones Co.,Venting
Siemens,Charles D. Jones Co.,HVAC Controls
Slant Fin,Charles D. Jones Co.,Hydronic BBR
Southwark,Charles D. Jones Co.,"Galvanized Pipe, Duct and Fittings Hi Velocity Air Conditioning"
Spacepak,Charles D. Jones Co.,Refrigeration
Sporlan,Charles D. Jones Co.,Red T Mobile Home Furnaces
Stylecrest,Charles D. Jones Co.,Pumps and Hydronic Specialties
Taco,Charles D. Jones Co.,Refrigeration Compressor/Condensing Units
Tecumseh,Charles D. Jones Co.,Snowmelt and Hydronic Control
Tekmar,Charles D. Jones Co.,Flexible Pipe Connectors
Thermo Tech,Charles D. Jones Co.,Direct and Indirect Fired MUA
Thermo Tek,Charles D. Jones Co.,"Air Handlers, Direct/Indirect Fired & Electric MUA"
Titan Air,Charles D. Jones Co.,Power Venting Solutions
Tjernlund,Charles D. Jones Co.,Test Equipment
TPI Test,Charles D. Jones Co.,Electric Duct Heaters
Tutco,Charles D. Jones Co.,Commercial Zoning Systems
Wattmaster,Charles D. Jones Co.,Hydronic Controls
Watts,Charles D. Jones Co.,Hydronic Isolation Valves
Webstone,Charles D. Jones Co.,HVAC Controls
White Rodgers,Charles D. Jones Co.,Fan Coil Units
Williams,Charles D. Jones Co.,Pumps
Wilo,Charles D. Jones Co.,"Air Conditioning, Residential and Commercial; Air Handling Units; Furnaces; Heat Pumps; Rooftop Equipment up to 65 Ton"
Air Handling Equipment,Engineered Air,"Packaged DX cooling with direct and indirectgas fired heat sections, electric heat, HWH coil, steam coils, with FC, AF, B1 supply and return fans for custom applications"
BKM Thermal Storage,Engineered Air,NEEDS PRODUCT DESCRIPTION
Cleanroom Equipment,Engineered Air,"Custom built recirculation, make up air, heating and cooling units for all cleanroom applications. Power coated or stainless-steel finishes, complete welded and wash down construction. Flush ceiling grid systems for Hospitals, Universities, Semiconductor and Pharmaceutical Cleanroom applications. Grids can include LED lighting, Sprinkler systems, laminar flow air distribution, fan powered HEPA filtration. Single point connections and can also be incorporated into a structural plenum system that can support the Recirculation Air handling units on top. The grids are provided as an aluminum extrusion with a powder coated finish as well as an all Stainless Steel (304 or 316L) grid system that can withstand the harsh chemicals used in the fumigation or wipe-down process."
Condensing Units and Chillers,Engineered Air,"Special application air cooled, evaporative condenser cooled, water cooled condensing units and Chillers Stand alone or package units."
Direct/Indirect Evaporative Cooling Systems,Engineered Air,"High efficiency direct, indirect or a combinationof direct and indir ect evaporative coolingsystems built for your application and yourspace."
Electric Heat,Engineered Air,"Electric heating, ventilating, makeup air equipment with SCR or binary staged controls with wound or enclosed and sheathed elements. Stand alone or packaged."
Energy Recovery,Engineered Air,"All types of energy recovery manufactured and installed by EngA including Heat pipe, Heat wheel, Air to air plate type Exchangers. Water, glycol run around systems as stand-alone or packaged with heating & cooling functions."
Gas Fired Heating and Make Up Air Units,Engineered Air,"Natural gas & propane direct fired and Indirect fired heating & ventilating, makeup air equipment with high turn down ratio including 90%. Efficient indirect fired gas makes up air units up to 3,000 MBH input."
Hydronic Heating and Cooling Electric Heat,Engineered Air,"Radiant ceiling panels, cabinet unit heaters wall fin radiation, horizontal/vertical unit heaters converters unit ventilators. Hot Water, steam, integral face and bypass heating, chilled water, DX cooling coils."
Made to Order Application Specific Equipment,Engineered Air,"Engineered Air will build all of your equipment to your specifications and for your application whether it be Air handlers with heating, cooling, Nesbitt, Typhoon and Correct Air Replacement Units, heat reclaim coils, upgraded features and construction levels including, forward, curved, backward inclined, air foil, centrifugal, SWSI, AMCA A, B & C fans, as well as plenum fan arrays for all applications."
"Nesbitt, Typhoon and Correct Air Replacement Units",Engineered Air,We have integrated these well-known companies into the Engineered Air family and can provide exact replacement units for retrofit and renovation projects.
Waste Water and Water Treatment,Engineered Air,"All of our equipment can be custom built for water and waste water treatment applications including special coatings like siloxane or complete stainless-steel construction as well as Tri-Med Oxidation Equipment, ultra violet light and positive ion generation equipment for air sanitation and odor control applications"
Manufacturers,Engineered Products,Product Description
Armstrong,Engineered Products,Steam Humidification Systems
AtmosAir,Engineered Products,Bi-Polar Ionization
Aquanomix,Engineered Products,Water System Management
Camus,Engineered Products,Hydronic Boilers
ClimaCool,Engineered Products,"Modular Water and Air Cooled Chillers, Heat Recovery Chillers"
ClimateCraft,Engineered Products,Semi-Custom and Custom Air Handling Units
ClimateMaster,Engineered Products,Water Source and Geothermal Heat Pumps
Cooney Coils,Engineered Products,Non-Freeze Coils
Danfoss,Engineered Products,Variable Frequency Drives
Duravent,Engineered Products,Gas and Grease vent pipe
FlowTech,Engineered Products,Chemical free water treatment system
Heat Pipe,Engineered Products,Passive and active energy recovery systems. Pumped Glycol Heat Recovery Systems
Hitachi,Engineered Products,VRF and Mini-Split Systems
ICE Western,Engineered Products,Gas Fired Make Up Air Units and Semi-Custom Packaged Rooftop Units
IEC,Engineered Products,Fan Coil Units
Kelvion,Engineered Products,Dry Coolers
Lennox,Engineered Products,"Packaged Rooftop Units and VRF, and Mini-Split systems"
Marley / SPX,Engineered Products,Cooling Towers and Fluid Coolers
NuTech,Engineered Products,Balance valves and valve packages
PEP / Amiad,Engineered Products,Water Filtrations Systems
Quantech,Engineered Products,Water and Air Cooled Chillers
Quest,Engineered Products,Dehumidification Units
Reftekk,Engineered Products,Bendable Copper Pipe for water and DX systems
Seasons4,Engineered Products,"Custom DX Solutions, replacement rooftop units"
Semco,Engineered Products,"Energy recovery units, wheels and air handling units"
Seresco,Engineered Products,Pool Dehumidification Units
Sterling,Engineered Products,"Cabinet Unit Heaters, Unit heaters, Radiant Ceiling Panels and Finned Tube Radiation"
TMI,Engineered Products,Custom Air Handling Units
Tranter,Engineered Products,Plate & Frame Heat Exchangers
O,Federated Insurance,913.489.7875       www.federatedinsurance.com
C,Federated Insurance,208.982.0426      sdcooke@fedins.com
Manufacturers,General Air,Product Description
3M,General Air,Carbon Arc Gouging Equipment
Arcair,General Air,Welding & Brazing Alloys
Chart,General Air,Plasma Cutting Equipment
Dewalt,General Air,Welding Equipment & Filler Metal
ESAB Welding and Cutting Products,General Air,Welding Equipment
Fibre-metal Products,General Air,"Industrial, Medical and Specialty Gases (oxygen, nitrogen, helium, etc.)"
Hobart Brothers Company,General Air,Carbon Dioxide
Hypertherm,General Air,Gas Apparatus & Oxy-Fuel Equipment
Ingersoll-Rand,General Air,Hardsurfacing and Brazing Alloys
Jackson Safety Products,General Air,Arc Welding Guns and Accessories
Jet,General Air,Gas Apparatus and Oxy-Fuel Equipment
Klein Tools Inc.,General Air,"Acetylene, Propylene"
Kobelco,General Air,Safety Equipment
Company/Brand,General Air,Product/Category
Lincoln Electric,General Air,Personal Protective Equipment
Mathey Dearman Inc.,General Air,Sait
Metabo Corporation,General Air,Smith
Miller Electric Manufacturing Company,General Air,Stoody
Milwaukee Electric Tool Corporation,General Air,Tweco Products
North Safety Products,General Air,Uvex
Norton Abrasives,General Air,Victor Equipment
Praxair,General Air,Weiler
Reliant,General Air,Western International Gas
ADP,Hercules Industries,Air Coils
Aerovent,Hercules Industries,Packaged Rooftop Units
Allied Air,Hercules Industries,Engineered Underground Duct System
AQC Blue Duct,Hercules Industries,Furnaces; Air handling
ARES,Hercules Industries,"HVAC Piping Insulation, Duct Insulation"
Armacell,Hercules Industries,"Condensing Unit, Furnaces, Heat Pumps, Air Coils, Air Handling, Air Handling with Coils"
Armstrong,Hercules Industries,Water Heaters
Bradford White,Hercules Industries,"Heat Exchangers, Electric Heat Units, Energy Recovery Units, Centrifugal Fans, Power"
Broan,Hercules Industries,Ventilators
Cambridge Lee,Hercules Industries,Lines Sets
Dial,Hercules Industries,HVAC Pumps
Dura Flange,Hercules Industries,Spiral Pipe Connectors
DuraVent,Hercules Industries,"Gas Vent Pipe, Positive Pressure Chimney System"
Duro-Dyne,Hercules Industries,"Sheet Metal Machinery, Hand Tools, HVAC Accessories and Duct Hanging Systems, Flange Connectors"
Engineered Acoustics,Hercules Industries,Duct Silencers
Engineered Comfort,Hercules Industries,"Fan Coil Units – Horizontal & Vertical Stacked Residential Fans (inline, axial, vent, duct, booster)"
Fantech,Hercules Industries,"Gauges, Meters, Instrumentation"
Fieldpiece,Hercules Industries,"Terminal Heat Transfer Units, Air Handling, Air Handling with Coils"
Gripnail Products,Hercules Industries,"Mechanical Fasteners, Sheet Metal Machinery"
Hardcast,Hercules Industries,Ductwork accessories
Hercules Industries,Hercules Industries,"Air Distribution, Residential and Commercial (Custom Fabrication), Sheet Metal Duct & Fittings, MightyBlue Duct Film; Steel Processing; Steel Sheet & Coil, Slit Coil; Rectangular Duct, Spiral & Oval Pipe, Fiberglass Duct, Grease Duct & Exhaust Systems"
Honeywell,Hercules Industries,"Humidifiers, Air Cleaning Devices, Control Systems."
Iowa Precision,Hercules Industries,Custom Designed Coil Processing
ISM Machinery,Hercules Industries,Tube Formers
JB Industries,Hercules Industries,"Refrigeration Products, & Accessories"
Johns Manville,Hercules Industries,Insulation
Manufacturer/Brand,Hercules Industries,Products/Specialties
JP Lamborn,Hercules Industries,Flex Duct & Sleeve
Kees,Hercules Industries,Ductwork Accessories
LAU Industries Inc.,Hercules Industries,Air Handling
LG,Hercules Industries,"Ductless Split Systems, PTAC, VRF"
Lennox,Hercules Industries,Air Outlets & Inlets
Lindab,Hercules Industries,Terminal Heat Transfer Units; Air Handling with Coils; TPAC
Magic-Aire,Hercules Industries,PTAC
Magic-Pak,Hercules Industries,Hand Tools
Malco,Hercules Industries,Electric heat units
Markel,Hercules Industries,Motors & Accessories; Air Curtains
Mars,Hercules Industries,Access Doors
Mifab,Hercules Industries,Sealants & adhesives; Ductwork accessories
Mighty Tough,Hercules Industries,Access Doors
Milcor,Hercules Industries,"FRP Duct, Vent Systems"
Monoxivent,Hercules Industries,Pipe & Pipe Fittings; Refrigerant Piping
Mueller,Hercules Industries,"Air terminal units, grilles, registers, diffusers, louvers, dampers, fire dampers, smoke dampers, fire/smoke dampers"
Nailor,Hercules Industries,"ERV, Power Ventilators & Fans"
Panasonic,Hercules Industries,FRP Duct Systems
PEC,Hercules Industries,"Commercial Exhaust Fans, Gravity Hoods, Industrial Fans, Supply Fans, Kitchen Hoods, Make-up Air, Energy Recovery"
PDM Linesets,Hercules Industries,Evaporative Cooling Units
Phoenix Manufacturing,Hercules Industries,Sealants & Adhesives
Polymer Adhesives,Hercules Industries,"Chimneys, Breechings, AL29-4C"
Pro Tech Systems,Hercules Industries,Air Filters
Purolator,Hercules Industries,Electric Heat Units
Q-Mark,Hercules Industries,Ductwork Accessories
QSO,Hercules Industries,Fabric Duct
QSox,Hercules Industries,Sheet Metal Machinery
RAMS,Hercules Industries,"Infrared Radiant Heat; Heat Generation; Indoor/Outdoor Packaged Furnaces; Air Handling, Make-up Air; Unit Heaters, Make-up Air"
Reznor,Hercules Industries,Sheet Metal Forming Machinery
Roper Whitney,Hercules Industries,Sheet Metal Machinery
Roto-Die,Hercules Industries,Air Distribution; Air Outlets & Inlets
Shoemaker,Hercules Industries,"Powered Roof Ventilators, Propeller Fans, Centrifugal & Industrial Fans, Residential Fans (Inline Axial, Dryer Vent, Duct Booster)"
Solar & Palau,Hercules Industries,"Spiral Pipe Forming Machines, Fitting Machines & Accessories"
Spiral-Helix,Hercules Industries,Registers & Grilles
SteelCrest,Hercules Industries,In Floor Electric Radiant Heat
Step Warmfloor,Hercules Industries,Sheet Metal Forming Machinery
Tennsmith,Hercules Industries,Air Handlers
Thermal Corp,Hercules Industries,Electric Heat
TPI,Hercules Industries,Tapes
Tyco Adhesives,Hercules Industries,"Air Exchangers, ERV & HRV<br>Full coil line, plasma cutting tables"
Venmar,Hercules Industries,Needs Description
Vicon,Hercules Industries,Needs Description
Williams Furnace,Hercules Industries,Needs Description
Ace Heating Solutions,IDC ASSOCIATES,"Boilers, Water Heaters"
ATH KN,IDC ASSOCIATES,Series Boilers
Columbia Boiler,IDC ASSOCIATES,Boilers
HydroTherm,IDC ASSOCIATES,Cast-Iron Boilers
JJM Boiler Works,IDC ASSOCIATES,On Demand Water Heaters
Lawler,IDC ASSOCIATES,"Thermostatic Mixing Valves, Emergency<br>Valves, Plumbing"
Lockwood Products,IDC ASSOCIATES,"Deaerators, Boiler Feed Systems"
Midco,IDC ASSOCIATES,Burners
Niles,IDC ASSOCIATES,Storage tanks
Parker Boilers,IDC ASSOCIATES,Boilers
Penn Separator,IDC ASSOCIATES,"Blowdown Separators, Boiler Accessories"
R.B.I.,IDC ASSOCIATES,"Boilers, Water Heaters"
Skidmore,IDC ASSOCIATES,"Boiler Feedwater Systems, Boiler Accessories"
Smith Boilers,IDC ASSOCIATES,Cast-Iron Boilers
Superior Boiler,IDC ASSOCIATES,Boilers
